,month,Abstract,Full,Pdf,metric_link,status_code
784,Apr 2020May 2020,2025,0,1025,https://medrxiv.org/content/10.1101/2020.04.21.20074591v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.21.20074591v1.article-metrics,400
785,Mar 2020Apr 2020,1682,0,587,https://medrxiv.org/content/10.1101/2020.03.06.20029793v2.article-metricshttps://medrxiv.org/content/10.1101/2020.03.06.20029793v2.article-metrics,400
786,Apr 2020May 2020,5528,,1819,https://medrxiv.org/content/10.1101/2020.04.16.20067884v3.article-metricshttps://medrxiv.org/content/10.1101/2020.04.16.20067884v3.article-metrics,400
787,Feb 2020Mar 2020,108690,0,13025,https://medrxiv.org/content/10.1101/2020.02.24.20027375v1.article-metricshttps://medrxiv.org/content/10.1101/2020.02.24.20027375v1.article-metrics,400
788,May 2020Jun 2020,423,0,180,https://medrxiv.org/content/10.1101/2020.05.18.20106013v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.18.20106013v1.article-metrics,400
789,May 2020Jun 2020,1009,0,255,https://medrxiv.org/content/10.1101/2020.05.07.20094466v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.07.20094466v1.article-metrics,400
790,May 2020Jun 2020,1270,0,645,https://medrxiv.org/content/10.1101/2020.05.03.20089680v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.03.20089680v1.article-metrics,400
791,Jul 2020Aug 2020,593,,188,https://medrxiv.org/content/10.1101/2020.07.23.20158592v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.23.20158592v1.article-metrics,400
792,Sep 2020Oct 2020,691,,208,https://medrxiv.org/content/10.1101/2020.09.06.20189258v1.article-metricshttps://medrxiv.org/content/10.1101/2020.09.06.20189258v1.article-metrics,400
793,Jul 2020Aug 2020,859,,186,https://medrxiv.org/content/10.1101/2020.07.09.20149682v2.article-metricshttps://medrxiv.org/content/10.1101/2020.07.09.20149682v2.article-metrics,400
794,Apr 2020May 2020,824,0,296,https://medrxiv.org/content/10.1101/2020.04.19.20071605v2.article-metricshttps://medrxiv.org/content/10.1101/2020.04.19.20071605v2.article-metrics,400
795,Sep 2020Oct 2020,1312,48,256,https://biorxiv.org/content/10.1101/2020.09.12.294504v2.article-metricshttps://biorxiv.org/content/10.1101/2020.09.12.294504v2.article-metrics,400
796,Mar 2020Apr 2020,9919,1814,5940,https://biorxiv.org/content/10.1101/2020.02.29.971093v2.article-metricshttps://biorxiv.org/content/10.1101/2020.02.29.971093v2.article-metrics,400
797,Sep 2020Oct 2020,854,,219,https://medrxiv.org/content/10.1101/2020.09.29.20203554v1.article-metricshttps://medrxiv.org/content/10.1101/2020.09.29.20203554v1.article-metrics,400
798,Apr 2020May 2020,1185,110,232,https://biorxiv.org/content/10.1101/2020.04.21.050922v1.article-metricshttps://biorxiv.org/content/10.1101/2020.04.21.050922v1.article-metrics,400
799,Jul 2020Aug 2020,1312,69,174,https://biorxiv.org/content/10.1101/2020.07.03.179028v1.article-metricshttps://biorxiv.org/content/10.1101/2020.07.03.179028v1.article-metrics,400
800,Jun 2020Jul 2020,1173,,714,https://medrxiv.org/content/10.1101/2020.06.19.20133991v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.19.20133991v1.article-metrics,400
801,Mar 2020Apr 2020,3507,319,1273,https://biorxiv.org/content/10.1101/2020.03.30.015685v2.article-metricshttps://biorxiv.org/content/10.1101/2020.03.30.015685v2.article-metrics,400
802,Oct 2020Nov 2020,936,68,356,https://medrxiv.org/content/10.1101/2020.10.07.20207480v1.article-metricshttps://medrxiv.org/content/10.1101/2020.10.07.20207480v1.article-metrics,400
803,Jul 2020Aug 2020,1017,61,175,https://biorxiv.org/content/10.1101/2020.07.20.213082v1.article-metricshttps://biorxiv.org/content/10.1101/2020.07.20.213082v1.article-metrics,400
804,Mar 2020Apr 2020,1809,0,811,https://medrxiv.org/content/10.1101/2020.03.27.20045328v1.article-metricshttps://medrxiv.org/content/10.1101/2020.03.27.20045328v1.article-metrics,400
805,Sep 2020Oct 2020,1088,51,275,https://biorxiv.org/content/10.1101/2020.09.01.278952v1.article-metricshttps://biorxiv.org/content/10.1101/2020.09.01.278952v1.article-metrics,400
806,Sep 2020Oct 2020,9894,2441,2918,https://biorxiv.org/content/10.1101/2020.09.17.302380v1.article-metricshttps://biorxiv.org/content/10.1101/2020.09.17.302380v1.article-metrics,400
807,Apr 2020May 2020,993,0,310,https://medrxiv.org/content/10.1101/2020.03.29.20046789v2.article-metricshttps://medrxiv.org/content/10.1101/2020.03.29.20046789v2.article-metrics,400
808,Aug 2020Sep 2020,855,82,166,https://biorxiv.org/content/10.1101/2020.08.10.244632v2.article-metricshttps://biorxiv.org/content/10.1101/2020.08.10.244632v2.article-metrics,400
809,Jun 2020Jul 2020,1196,,750,https://medrxiv.org/content/10.1101/2020.06.05.20123703v2.article-metricshttps://medrxiv.org/content/10.1101/2020.06.05.20123703v2.article-metrics,400
810,Apr 2020May 2020,6110,0,3245,https://medrxiv.org/content/10.1101/2020.04.06.20054320v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.06.20054320v1.article-metrics,400
811,Sep 2020Oct 2020,1234,114,379,https://biorxiv.org/content/10.1101/2020.09.03.280370v1.article-metricshttps://biorxiv.org/content/10.1101/2020.09.03.280370v1.article-metrics,400
812,Oct 2020Nov 2020,403,3,59,https://medrxiv.org/content/10.1101/2020.10.26.20219543v1.article-metricshttps://medrxiv.org/content/10.1101/2020.10.26.20219543v1.article-metrics,400
813,May 2020Jun 2020,747,,147,https://medrxiv.org/content/10.1101/2020.05.27.20114983v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.27.20114983v1.article-metrics,400
814,Apr 2020May 2020,1442,0,783,https://medrxiv.org/content/10.1101/2020.04.15.20067025v2.article-metricshttps://medrxiv.org/content/10.1101/2020.04.15.20067025v2.article-metrics,400
815,May 2020Jun 2020,2025,0,569,https://medrxiv.org/content/10.1101/2020.05.14.20101576v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.14.20101576v1.article-metrics,400
816,Aug 2020Sep 2020,501,,90,https://medrxiv.org/content/10.1101/2020.08.01.20166330v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.01.20166330v1.article-metrics,400
817,Jul 2020Aug 2020,920,,197,https://medrxiv.org/content/10.1101/2020.07.10.20150565v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.10.20150565v1.article-metrics,400
818,Apr 2020May 2020,1532,0,420,https://medrxiv.org/content/10.1101/2020.04.25.20079129v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.25.20079129v1.article-metrics,400
819,Aug 2020Sep 2020,2738,130,778,https://biorxiv.org/content/10.1101/2020.08.25.254474v1.article-metricshttps://biorxiv.org/content/10.1101/2020.08.25.254474v1.article-metrics,400
820,Apr 2020May 2020,1683,0,565,https://medrxiv.org/content/10.1101/2020.04.09.20059402v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.09.20059402v1.article-metrics,400
821,Mar 2020Apr 2020,1235,0,748,https://medrxiv.org/content/10.1101/2020.03.25.20043877v1.article-metricshttps://medrxiv.org/content/10.1101/2020.03.25.20043877v1.article-metrics,400
822,Aug 2020Sep 2020,1739,102,620,https://biorxiv.org/content/10.1101/2020.08.26.267724v1.article-metricshttps://biorxiv.org/content/10.1101/2020.08.26.267724v1.article-metrics,400
823,Sep 2020Oct 2020,682,,299,https://medrxiv.org/content/10.1101/2020.09.12.20193086v2.article-metricshttps://medrxiv.org/content/10.1101/2020.09.12.20193086v2.article-metrics,400
824,Oct 2020Nov 2020,20535,4,1028,https://medrxiv.org/content/10.1101/2020.10.05.20207100v1.article-metricshttps://medrxiv.org/content/10.1101/2020.10.05.20207100v1.article-metrics,400
825,Apr 2020May 2020,1480,0,590,https://medrxiv.org/content/10.1101/2020.04.15.20067272v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.15.20067272v1.article-metrics,400
826,Jun 2020Jul 2020,1876,187,384,https://biorxiv.org/content/10.1101/2020.06.03.131755v3.article-metricshttps://biorxiv.org/content/10.1101/2020.06.03.131755v3.article-metrics,400
827,Aug 2020Sep 2020,890,,286,https://medrxiv.org/content/10.1101/2020.08.11.20170613v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.11.20170613v1.article-metrics,400
828,Aug 2020Sep 2020,1476,,954,https://medrxiv.org/content/10.1101/2020.08.05.20168674v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.05.20168674v1.article-metrics,400
829,Mar 2020Apr 2020,6995,0,1944,https://medrxiv.org/content/10.1101/2020.03.29.20044461v1.article-metricshttps://medrxiv.org/content/10.1101/2020.03.29.20044461v1.article-metrics,400
830,Oct 2020Nov 2020,1095,44,192,https://medrxiv.org/content/10.1101/2020.10.20.20215970v1.article-metricshttps://medrxiv.org/content/10.1101/2020.10.20.20215970v1.article-metrics,400
831,Apr 2020May 2020,8326,0,2808,https://medrxiv.org/content/10.1101/2020.04.22.20076117v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.22.20076117v1.article-metrics,400
832,Jun 2020Jul 2020,761,,231,https://medrxiv.org/content/10.1101/2020.06.12.20129783v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.12.20129783v1.article-metrics,400
833,Apr 2020May 2020,1966,0,800,https://medrxiv.org/content/10.1101/2020.04.24.20077487v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.24.20077487v1.article-metrics,400
834,Jul 2020Aug 2020,13362,,5062,https://medrxiv.org/content/10.1101/2020.07.22.20159905v2.article-metricshttps://medrxiv.org/content/10.1101/2020.07.22.20159905v2.article-metrics,400
835,May 2020Jun 2020,6172,,2471,https://medrxiv.org/content/10.1101/2020.05.06.20093336v2.article-metricshttps://medrxiv.org/content/10.1101/2020.05.06.20093336v2.article-metrics,400
836,Jun 2020Jul 2020,677,,184,https://medrxiv.org/content/10.1101/2020.05.31.20118232v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.31.20118232v1.article-metrics,400
837,May 2020Jun 2020,1673,0,430,https://medrxiv.org/content/10.1101/2020.05.10.20097428v2.article-metricshttps://medrxiv.org/content/10.1101/2020.05.10.20097428v2.article-metrics,400
838,Sep 2020Oct 2020,593,,164,https://medrxiv.org/content/10.1101/2020.09.04.20188102v1.article-metricshttps://medrxiv.org/content/10.1101/2020.09.04.20188102v1.article-metrics,400
839,Sep 2020Oct 2020,327,,115,https://medrxiv.org/content/10.1101/2020.08.31.20185256v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.31.20185256v1.article-metrics,400
840,Jun 2020Jul 2020,744,,160,https://medrxiv.org/content/10.1101/2020.06.13.20128694v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.13.20128694v1.article-metrics,400
841,Oct 2020Nov 2020,506,4,72,https://medrxiv.org/content/10.1101/2020.10.27.20219618v1.article-metricshttps://medrxiv.org/content/10.1101/2020.10.27.20219618v1.article-metrics,400
842,Sep 2020Oct 2020,659,,121,https://medrxiv.org/content/10.1101/2020.09.17.20183392v1.article-metricshttps://medrxiv.org/content/10.1101/2020.09.17.20183392v1.article-metrics,400
843,Jun 2020Jul 2020,1339,,261,https://medrxiv.org/content/10.1101/2020.06.22.20137448v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.22.20137448v1.article-metrics,400
844,Sep 2020Oct 2020,2159,131,676,https://biorxiv.org/content/10.1101/2020.09.14.295824v2.article-metricshttps://biorxiv.org/content/10.1101/2020.09.14.295824v2.article-metrics,400
845,Oct 2020Nov 2020,1124,26,336,https://medrxiv.org/content/10.1101/2020.10.26.20219659v2.article-metricshttps://medrxiv.org/content/10.1101/2020.10.26.20219659v2.article-metrics,400
846,Sep 2020Oct 2020,621,212,147,https://biorxiv.org/content/10.1101/2020.09.03.280727v1.article-metricshttps://biorxiv.org/content/10.1101/2020.09.03.280727v1.article-metrics,400
847,May 2020Jun 2020,2098,101,624,https://biorxiv.org/content/10.1101/2020.05.16.099499v1.article-metricshttps://biorxiv.org/content/10.1101/2020.05.16.099499v1.article-metrics,400
848,Sep 2020Oct 2020,844,54,161,https://biorxiv.org/content/10.1101/2020.09.04.283358v2.article-metricshttps://biorxiv.org/content/10.1101/2020.09.04.283358v2.article-metrics,400
849,Apr 2020May 2020,1374,0,620,https://medrxiv.org/content/10.1101/2020.04.19.20071415v2.article-metricshttps://medrxiv.org/content/10.1101/2020.04.19.20071415v2.article-metrics,400
850,Feb 2020Mar 2020,5216,0,1629,https://medrxiv.org/content/10.1101/2020.02.11.20020735v2.article-metricshttps://medrxiv.org/content/10.1101/2020.02.11.20020735v2.article-metrics,400
851,Jul 2020Aug 2020,2826,,861,https://medrxiv.org/content/10.1101/2020.07.27.20161836v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.27.20161836v1.article-metrics,400
852,Jun 2020Jul 2020,1007,,239,https://medrxiv.org/content/10.1101/2020.06.16.20132480v2.article-metricshttps://medrxiv.org/content/10.1101/2020.06.16.20132480v2.article-metrics,400
853,Aug 2020Sep 2020,1277,,304,https://medrxiv.org/content/10.1101/2020.08.13.20174615v2.article-metricshttps://medrxiv.org/content/10.1101/2020.08.13.20174615v2.article-metrics,400
854,May 2020Jun 2020,8084,0,2725,https://medrxiv.org/content/10.1101/2020.05.08.20089268v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.08.20089268v1.article-metrics,400
855,May 2020Jun 2020,753,0,262,https://medrxiv.org/content/10.1101/2020.05.18.20105627v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.18.20105627v1.article-metrics,400
856,Oct 2020Nov 2020,1235,11,156,https://medrxiv.org/content/10.1101/2020.10.23.20218396v2.article-metricshttps://medrxiv.org/content/10.1101/2020.10.23.20218396v2.article-metrics,400
857,Jul 2020Aug 2020,2332,98,621,https://biorxiv.org/content/10.1101/2020.07.03.185850v1.article-metricshttps://biorxiv.org/content/10.1101/2020.07.03.185850v1.article-metrics,400
858,May 2020Jun 2020,862,0,454,https://medrxiv.org/content/10.1101/2020.05.15.20103077v2.article-metricshttps://medrxiv.org/content/10.1101/2020.05.15.20103077v2.article-metrics,400
859,Oct 2020Nov 2020,1706,42,3737,https://medrxiv.org/content/10.1101/2020.10.22.20217984v2.article-metricshttps://medrxiv.org/content/10.1101/2020.10.22.20217984v2.article-metrics,400
860,Aug 2020Sep 2020,753,,222,https://medrxiv.org/content/10.1101/2020.08.01.20162115v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.01.20162115v1.article-metrics,400
861,Apr 2020May 2020,1418,0,807,https://medrxiv.org/content/10.1101/2020.04.25.20079848v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.25.20079848v1.article-metrics,400
862,Apr 2020May 2020,2806,172,1188,https://biorxiv.org/content/10.1101/2020.04.20.052233v1.article-metricshttps://biorxiv.org/content/10.1101/2020.04.20.052233v1.article-metrics,400
863,Jun 2020Jul 2020,1220,84,326,https://biorxiv.org/content/10.1101/2020.06.04.135608v1.article-metricshttps://biorxiv.org/content/10.1101/2020.06.04.135608v1.article-metrics,400
864,Apr 2020May 2020,3780,231,1056,https://biorxiv.org/content/10.1101/2020.04.07.029017v2.article-metricshttps://biorxiv.org/content/10.1101/2020.04.07.029017v2.article-metrics,400
865,Jul 2020Aug 2020,1182,,302,https://medrxiv.org/content/10.1101/2020.07.01.20144394v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.01.20144394v1.article-metrics,400
866,Aug 2020Sep 2020,484,,132,https://medrxiv.org/content/10.1101/2020.08.25.20181545v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.25.20181545v1.article-metrics,400
867,Mar 2020Apr 2020,2341,0,1498,https://medrxiv.org/content/10.1101/2020.03.10.20033613v1.article-metricshttps://medrxiv.org/content/10.1101/2020.03.10.20033613v1.article-metrics,400
868,Mar 2020Apr 2020,1873,447,928,https://biorxiv.org/content/10.1101/2020.03.15.992818v1.article-metricshttps://biorxiv.org/content/10.1101/2020.03.15.992818v1.article-metrics,400
869,Apr 2020May 2020,2093,186,929,https://biorxiv.org/content/10.1101/2020.04.21.054221v1.article-metricshttps://biorxiv.org/content/10.1101/2020.04.21.054221v1.article-metrics,400
870,Jan 2020Feb 2020,79167,4836,30949,https://biorxiv.org/content/10.1101/2020.01.25.919787v2.article-metricshttps://biorxiv.org/content/10.1101/2020.01.25.919787v2.article-metrics,400
871,Aug 2020Sep 2020,1283,,299,https://medrxiv.org/content/10.1101/2020.07.30.20165563v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.30.20165563v1.article-metrics,400
872,May 2020Jun 2020,1378,0,678,https://medrxiv.org/content/10.1101/2020.05.21.20109181v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.21.20109181v1.article-metrics,400
873,Jun 2020Jul 2020,776,,225,https://medrxiv.org/content/10.1101/2020.06.03.20116533v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.03.20116533v1.article-metrics,400
874,May 2020Jun 2020,1427,,315,https://medrxiv.org/content/10.1101/2020.05.22.20110718v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.22.20110718v1.article-metrics,400
875,Jul 2020Aug 2020,2020,,517,https://medrxiv.org/content/10.1101/2020.07.02.20144964v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.02.20144964v1.article-metrics,400
876,Mar 2020Apr 2020,150825,0,81509,https://medrxiv.org/content/10.1101/2020.03.27.20043752v1.article-metricshttps://medrxiv.org/content/10.1101/2020.03.27.20043752v1.article-metrics,400
877,Jun 2020Jul 2020,718,0,225,https://medrxiv.org/content/10.1101/2020.06.10.20127860v3.article-metricshttps://medrxiv.org/content/10.1101/2020.06.10.20127860v3.article-metrics,400
878,May 2020Jun 2020,1133,,311,https://medrxiv.org/content/10.1101/2020.05.20.20107755v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.20.20107755v1.article-metrics,400
879,Jul 2020Aug 2020,1363,,313,https://medrxiv.org/content/10.1101/2020.07.16.20155622v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.16.20155622v1.article-metrics,400
880,May 2020Jun 2020,1240,,459,https://medrxiv.org/content/10.1101/2020.05.11.20097907v2.article-metricshttps://medrxiv.org/content/10.1101/2020.05.11.20097907v2.article-metrics,400
881,Jun 2020Jul 2020,698,,243,https://medrxiv.org/content/10.1101/2020.06.03.20120881v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.03.20120881v1.article-metrics,400
882,Mar 2020Apr 2020,4369,0,2065,https://medrxiv.org/content/10.1101/2020.03.22.20039933v2.article-metricshttps://medrxiv.org/content/10.1101/2020.03.22.20039933v2.article-metrics,400
883,Jun 2020Jul 2020,910,,234,https://medrxiv.org/content/10.1101/2020.06.15.20131375v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.15.20131375v1.article-metrics,400
884,May 2020Jun 2020,999,43,260,https://biorxiv.org/content/10.1101/2020.05.28.120642v2.article-metricshttps://biorxiv.org/content/10.1101/2020.05.28.120642v2.article-metrics,400
885,Feb 2020Mar 2020,36684,0,17878,https://medrxiv.org/content/10.1101/2020.02.12.20022467v1.article-metricshttps://medrxiv.org/content/10.1101/2020.02.12.20022467v1.article-metrics,400
886,Mar 2020Apr 2020,2150,0,830,https://medrxiv.org/content/10.1101/2020.02.28.20028555v1.article-metricshttps://medrxiv.org/content/10.1101/2020.02.28.20028555v1.article-metrics,400
887,Jul 2020Aug 2020,1005,57,217,https://biorxiv.org/content/10.1101/2020.07.13.200188v1.article-metricshttps://biorxiv.org/content/10.1101/2020.07.13.200188v1.article-metrics,400
888,Jun 2020Jul 2020,1933,,854,https://medrxiv.org/content/10.1101/2020.06.12.20129254v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.12.20129254v1.article-metrics,400
889,Jul 2020Aug 2020,739,,214,https://medrxiv.org/content/10.1101/2020.07.22.20159202v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.22.20159202v1.article-metrics,400
890,Sep 2020Oct 2020,529,,220,https://medrxiv.org/content/10.1101/2020.08.31.20185223v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.31.20185223v1.article-metrics,400
891,Jun 2020Jul 2020,2636,206,963,https://biorxiv.org/content/10.1101/2020.06.22.165712v1.article-metricshttps://biorxiv.org/content/10.1101/2020.06.22.165712v1.article-metrics,400
892,Oct 2020Nov 2020,2318,161,749,https://biorxiv.org/content/10.1101/2020.10.02.323915v1.article-metricshttps://biorxiv.org/content/10.1101/2020.10.02.323915v1.article-metrics,400
893,Mar 2020Apr 2020,9794,1091,7063,https://biorxiv.org/content/10.1101/2020.03.17.995639v1.article-metricshttps://biorxiv.org/content/10.1101/2020.03.17.995639v1.article-metrics,400
894,Aug 2020Sep 2020,1757,,901,https://medrxiv.org/content/10.1101/2020.08.16.20176065v2.article-metricshttps://medrxiv.org/content/10.1101/2020.08.16.20176065v2.article-metrics,400
895,Mar 2020Apr 2020,1221,0,497,https://medrxiv.org/content/10.1101/2020.03.22.20041244v1.article-metricshttps://medrxiv.org/content/10.1101/2020.03.22.20041244v1.article-metrics,400
896,Sep 2020Oct 2020,1282,0,189,https://medrxiv.org/content/10.1101/2020.09.09.20191684v4.article-metricshttps://medrxiv.org/content/10.1101/2020.09.09.20191684v4.article-metrics,400
897,Aug 2020Sep 2020,1690,64,386,https://biorxiv.org/content/10.1101/2020.08.30.273979v1.article-metricshttps://biorxiv.org/content/10.1101/2020.08.30.273979v1.article-metrics,400
898,May 2020Jun 2020,2002,0,883,https://medrxiv.org/content/10.1101/2020.04.27.20081901v1.article-metricshttps://medrxiv.org/content/10.1101/2020.04.27.20081901v1.article-metrics,400
899,Jul 2020Aug 2020,727,,146,https://medrxiv.org/content/10.1101/2020.07.02.20145110v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.02.20145110v1.article-metrics,400
900,Jun 2020Jul 2020,1875,,422,https://medrxiv.org/content/10.1101/2020.06.03.20121624v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.03.20121624v1.article-metrics,400
901,Jun 2020Jul 2020,1033,,283,https://medrxiv.org/content/10.1101/2020.06.24.20139436v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.24.20139436v1.article-metrics,400
902,Oct 2020Nov 2020,777,47,176,https://medrxiv.org/content/10.1101/2020.10.21.20216986v1.article-metricshttps://medrxiv.org/content/10.1101/2020.10.21.20216986v1.article-metrics,400
903,Aug 2020Sep 2020,994,,261,https://medrxiv.org/content/10.1101/2020.07.31.20165126v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.31.20165126v1.article-metrics,400
904,Jun 2020Jul 2020,171587,,82776,https://medrxiv.org/content/10.1101/2020.06.22.20137273v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.22.20137273v1.article-metrics,400
905,Jun 2020Jul 2020,2821,,1281,https://medrxiv.org/content/10.1101/2020.05.31.20114520v2.article-metricshttps://medrxiv.org/content/10.1101/2020.05.31.20114520v2.article-metrics,400
906,Sep 2020Oct 2020,790,,192,https://medrxiv.org/content/10.1101/2020.09.24.20201301v1.article-metricshttps://medrxiv.org/content/10.1101/2020.09.24.20201301v1.article-metrics,400
907,Feb 2020Mar 2020,3346,0,1494,https://medrxiv.org/content/10.1101/2020.02.13.20022822v1.article-metricshttps://medrxiv.org/content/10.1101/2020.02.13.20022822v1.article-metrics,400
908,Aug 2020Sep 2020,3074,145,758,https://biorxiv.org/content/10.1101/2020.08.17.251728v1.article-metricshttps://biorxiv.org/content/10.1101/2020.08.17.251728v1.article-metrics,400
909,Mar 2020Apr 2020,3098,250,1531,https://biorxiv.org/content/10.1101/2020.03.26.009605v1.article-metricshttps://biorxiv.org/content/10.1101/2020.03.26.009605v1.article-metrics,400
910,Sep 2020Oct 2020,274,,101,https://medrxiv.org/content/10.1101/2020.09.11.20193029v1.article-metricshttps://medrxiv.org/content/10.1101/2020.09.11.20193029v1.article-metrics,400
911,Apr 2020May 2020,4039,0,2315,https://medrxiv.org/content/10.1101/2020.04.20.20072223v4.article-metricshttps://medrxiv.org/content/10.1101/2020.04.20.20072223v4.article-metrics,400
912,Apr 2020May 2020,4368,523,2014,https://biorxiv.org/content/10.1101/2020.03.31.017889v1.article-metricshttps://biorxiv.org/content/10.1101/2020.03.31.017889v1.article-metrics,400
913,Mar 2020Apr 2020,4332,0,1314,https://medrxiv.org/content/10.1101/2020.03.17.20037697v3.article-metricshttps://medrxiv.org/content/10.1101/2020.03.17.20037697v3.article-metrics,400
