,title,title2
25,Adhesive Contact Between Cylindrical (Ebola) and Spherical (SARS-CoV-2) Viral Particles and a Cell Membrane,Adhesive contact between cylindrical (Ebola) and spherical (SARS-CoV-2) viral particles and a cell membrane
26,A Logistic Model for Age-Specific COVID-19 Case-Fatality Rates,A logistic model for age-specific COVID-19 case-fatality rates
27,Serial Interval Distribution of SARS-CoV-2 Infection in Brazil,Serial interval distribution of SARS-CoV-2 infection in Brazil
28,One-Step Rapid Quantification of SARS-CoV-2 Virus Particles via Low-Cost Nanoplasmonic Sensors in Generic Microplate Reader and Point-of-Care Device,One-step rapid quantification of SARS-CoV-2 virus particles via low-cost nanoplasmonic sensors in generic microplate reader and point-of-care device
29,Effects of Tocilizumab on Mortality in Hospitalized Patients with COVID-19: A Multicenter Cohort Study,Effects of tocilizumab on mortality in hospitalized patients with COVID-19: A multicenter cohort study
30,Hospital readmissions of discharged patients with COVID-19,Hospital Readmissions of Discharged Patients with COVID-19
31,Kalman Filter Based Short Term Prediction Model for COVID-19 Spread,Kalman filter based short term prediction model for COVID-19 spread
32,"Causal Impact of Masks, Policies, Behavior on Early Covid-19 Pandemic in the U.S.","Causal impact of masks, policies, behavior on early covid-19 pandemic in the U.S."
33,Medical overuse in the Iranian healthcare system: a systematic scoping review and practical recommendations for decreasing medical overuse during unexpected COVID-19 pandemic opportunity,Medical Overuse in the Iranian Healthcare System: A Systematic Scoping Review and Practical Recommendations for Decreasing Medical Overuse During Unexpected COVID-19 Pandemic Opportunity
34,Psychological Distress during the COVID-19 pandemic in France: a national assessment of at-risk populations,Psychological distress during the COVID-19 pandemic in France: a national assessment of at-risk populations
35,Hemogram Data as a Tool for Decision-making in COVID-19 Management: Applications to Resource Scarcity Scenarios,Hemogram data as a tool for decision-making in COVID-19 management: applications to resource scarcity scenarios
36,Phylogenetic Analysis of SARS-CoV-2 Genomes in Turkey,Phylogenetic analysis of SARS-CoV-2 genomes in Turkey
37,Sequence Characterization and Molecular Modeling of Clinically Relevant Variants of the SARS-CoV-2 Main Protease,Sequence characterization and molecular modeling of clinically relevant variants of the SARS-CoV-2 main protease
38,Modelling the evolution of COVID-19 in high-incidence European countries and regions: estimated number of infections and impact of past and future intervention measures,Modelling the Evolution of COVID-19 in High-Incidence European Countries and Regions: Estimated Number of Infections and Impact of Past and Future Intervention Measures
39,Androgen regulates SARS-CoV-2 receptor levels and is associated with severe COVID-19 symptoms in men,Androgen Regulates SARS-CoV-2 Receptor Levels and Is Associated with Severe COVID-19 Symptoms in Men
40,Low albumin levels are associated with poorer outcomes in a case series of COVID-19 patients in Spain: a retrospective cohort study,Low Albumin Levels Are Associated with Poorer Outcomes in a Case Series of COVID-19 Patients in Spain: A Retrospective Cohort Study
41,IKONOS: An intelligent tool to support diagnosis of Covid-19 by texture analysis of x-ray images,IKONOS: an intelligent tool to support diagnosis of COVID-19 by texture analysis of X-ray images
42,Asthma and COVID-19 in Children - A Systematic Review and Call for Data,Asthma and COVID-19 in children - a systematic review and call for data
43,Associations of stay-at-home order and face-masking recommendation with trends in daily new cases and deaths of laboratory-confirmed COVID-19 in the United States,Associations of Stay-at-Home Order and Face-Masking Recommendation with Trends in Daily New Cases and Deaths of Laboratory-Confirmed COVID-19 in the United States
44,Neutralization of SARS-CoV-2 by destruction of the prefusion Spike,Neutralization of SARS-CoV-2 by Destruction of the Prefusion Spike
45,THE PATHOGENESIS OF THROMBOEMBOLIC DISEASE IN COVID-19 PATIENTS: COULD BE A CATASTROPHIC ANTIPHOSPHOLIPID SYNDROME?,The pathogenesis of thromboembolic disease in covid-19 patients: Could be a catastrophic antiphospholipid syndrome?
46,Beyond predicting the number of infections: predicting who is likely to be COVID negative or positive,Beyond Predicting the Number of Infections: Predicting Who is Likely to Be COVID Negative or Positive
47,Profiling COVID-19 pneumonia progressing into the cytokine storm syndrome: results from a single Italian Centre study on tocilizumab versus standard of care.,Profiling COVID-19 pneumonia progressing into the cytokine storm syndrome: Results from a single Italian Centre study on tocilizumab versus standard of care.
48,"Associations between psychiatric disorders, COVID-19 testing probability and COVID-19 testing results: Findings from a population-based study","Associations between psychiatric disorders, COVID-19 testing probability and COVID-19 testing results: findings from a population-based study"
49,A cohort of patients with COVID-19 in a major teaching hospital in Europe,A Cohort of Patients with COVID-19 in a Major Teaching Hospital in Europe
50,Enhanced Contact Investigations for Nine Early Travel-Related Cases of SARS-CoV-2 in the United States,Enhanced contact investigations for nine early travel-related cases of SARS-CoV-2 in the United States
51,Bayesian Inference of COVID-19 Spreading Rates in South Africa,Bayesian inference of COVID-19 spreading rates in South Africa
52,Antibody tests in detecting SARS-CoV-2 infection: a meta-analysis,Antibody Tests in Detecting SARS-CoV-2 Infection: A Meta-Analysis
53,SARS-CoV-2 Isolation and Propagation from Turkish COVID-19 patients,SARS-CoV-2 isolation and propagation from Turkish COVID-19 patients
54,Saliva Sample as a Non-Invasive Specimen for the Diagnosis of Coronavirus Disease-2019 (COVID-19): a Cross-Sectional Study,Saliva sample as a non-invasive specimen for the diagnosis of coronavirus disease-2019 (COVID-19): a cross-sectional study
55,Design an efficient multi-epitope peptide vaccine candidate against SARS-CoV-2: An in silico analysis,Design an Efficient Multi-Epitope Peptide Vaccine Candidate Against SARS-CoV-2: An in silico Analysis
56,Mandatory social distancing associated with increased doubling time: an example using hyperlocal data,Mandatory Social Distancing Associated With Increased Doubling Time: An Example Using Hyperlocal Data
57,Impact of population mask wearing on Covid-19 post lockdown,Impact of Population Mask Wearing on Covid-19 Post Lockdown
58,"Classical drug digitoxin inhibits influenza cytokine storm, with implications for COVID-19 therapy.","Classical Drug Digitoxin Inhibits Influenza Cytokine Storm, With Implications for Covid-19 Therapy."
59,The COVID-19 infection in Italy: a statistical study of an abnormally severe disease,The COVID-19 Infection in Italy: A Statistical Study of an Abnormally Severe Disease
60,Dispersion of a new coronavirus SARS-CoV-2 by airlines in 2020: Temporal estimates of the outbreak in Mexico.,DISPERSION OF A NEW CORONAVIRUS SARS-COV-2 BY AIRLINES IN 2020: TEMPORAL ESTIMATES OF THE OUTBREAK IN MEXICO.
61,SARS-CoV-2 proteome microarray for mapping COVID-19 antibody interactions at amino acid resolution,SARS-CoV-2 Proteome Microarray for Mapping COVID-19 Antibody Interactions at Amino Acid Resolution
62,Air Pollution Reduction and Mortality Benefit during the COVID-19 Outbreak in China,Air pollution reduction and mortality benefit during the COVID-19 outbreak in China
63,Cross-reaction of sera from COVID-19 patients with SARS-CoV assays.,Cross-reaction of Sera from COVID-19 Patients with SARS-CoV Assays.
64,Epidemiological and clinical characteristics of COVID-19 in adolescents and young adults,Epidemiological and Clinical Characteristics of COVID-19 in Adolescents and Young Adults
65,The Evaluation of Sleep Disturbances for Chinese Frontline Medical Workers Under the Outbreak of COVID-19,The Evaluation of Sleep Disturbances for Chinese Frontline Medical Workers under the Outbreak of COVID-19
66,Assessing the impact of reduced travel on exportation dynamics of novel coronavirus infection (COVID-19),Assessing the Impact of Reduced Travel on Exportation Dynamics of Novel Coronavirus Infection (COVID-19)
